date,tag,asset,cumulative,delta
2026-07-27,v1.5.2,RD_Lot_Automation_Setup.exe,22,
2026-07-27,v1.5.2,RD_Lot_Automation_Setup_v1.5.2.exe,0,
2026-07-28,v1.5.2,RD_Lot_Automation_Setup.exe,22,0
2026-07-28,v1.5.2,RD_Lot_Automation_Setup_v1.5.2.exe,0,0
2026-07-29,v1.5.2,RD_Lot_Automation_Setup.exe,22,0
2026-07-29,v1.5.2,RD_Lot_Automation_Setup_v1.5.2.exe,0,0
2026-07-30,v1.5.2,RD_Lot_Automation_Setup.exe,22,0
2026-07-30,v1.5.2,RD_Lot_Automation_Setup_v1.5.2.exe,0,0
2026-07-31,v1.5.2,RD_Lot_Automation_Setup.exe,60,38
2026-07-31,v1.5.2,RD_Lot_Automation_Setup_v1.5.2.exe,0,0
